Rack:Tube,Solution Label,Timestamp,Al 237.312 nm ppm,Al 308.215 nm ppm,Ca 315.887 nm ppm,Ca 422.673 nm ppm,Fe 238.204 nm ppm,Fe 259.940 nm ppm,K 766.491 nm ppm,K 769.897 nm ppm,Mg 279.553 nm ppm,Mg 280.270 nm ppm,Mn 257.610 nm ppm,Mn 293.931 nm ppm,Na 588.995 nm ppm,Na 589.592 nm ppm,P 213.618 nm ppm,P 214.914 nm ppm,Ti 334.941 nm ppm,Ti 336.122 nm ppm
01:05,MCS 576,28-04-2025 14:05,74784.11,75312.39,2167.71,2199.92,38889.32,38942.58,25955.06,25508.57,9402.27,9456.71,699.19,702.21,6133.85,6132.68,730.17,769.23,4201.21,4189.13
01:06,MCS 577,28-04-2025 14:07,94663.02,95486.41,1179.36,1207.21,47306.29,47369.56,30954.62,30538.98,9181.13,9219.09,331.19,331.77,3519.46,3500.96,514.15,597.42,5657.86,5672.26
01:07,MCS 578,28-04-2025 14:09,92273.91,93250.8,776.91,856.81,41101.84,41144.95,33300.87,33036.4,8505.72,8539.57,645.49,646.94,3397.76,3392.52,351.23,371.04,5123.04,5133.5
01:08,MCS 579,28-04-2025 14:11,74354.02,74733.87,1161.25,1184.33,33594.57,33610.01,24343.32,23932.03,6716.9,6703.91,581.95,583.88,3895.13,3892.53,410.02,431.89,4322.65,4334.51
01:09,MCS 580,28-04-2025 14:13,107292.32,108713.99,1420.1,1461,49281.96,49294.41,36438.01,36507.86,9762.07,9860.59,688.69,692.94,3902.78,3878.33,775.95,835.58,6234.59,6225.42
01:10,MCS 581,28-04-2025 14:15,96179.07,97051.76,1098.38,1127.36,45998.07,46038.86,31762.77,31304.4,9256.05,9284.79,536.64,538.76,4000.53,4000.23,444.12,473.29,5530.64,5549.29
01:11,MCS 582,28-04-2025 14:17,80696.34,80860.21,1422.08,1432.54,40394.95,40432.21,26793.32,26278.44,8558.75,8550.97,572.7,574.84,2958.29,2895.84,328.89,383.08,4844.73,4828.6
01:12,MCS 583,28-04-2025 14:19,87432.98,88045.13,1810.07,1847.09,40220.72,40311.92,26630.32,26164.08,7807.72,7810.35,474.72,477.65,5210.5,5257.41,556.29,605.39,4838.15,4858.45
01:13,MCS 584,28-04-2025 14:21,89328.6,89845.02,1343.38,1374.64,42718.48,42804.1,29044.83,28653.49,8185.78,8205.79,311.48,312.8,3409.24,3405.37,485.63,550.79,5164.76,5185.07
S1:8,QC MES 5 ppm,28-04-2025 14:23,4.88,4.88,4.49,4.57,4.85,4.86,5.39,5.28,4.47,4.65,4.74,4.84,4.93,4.99,4.88,4.85,4.77,4.77
S1:9,SJS-Std,28-04-2025 14:25,79902.62,79095.32,19638.09,19314.47,37423.55,37304.45,24094.32,23652.63,15522.25,15440.94,577.47,574.94,13169.81,13129.34,690.3,794.59,3535.5,3523.32
01:14,MCS 585,28-04-2025 14:27,72715.35,72866.79,2380.41,2394.61,29655.17,29715.29,22392.42,21927,5931.98,5898.44,283.42,284.09,4936.82,4925.34,850.86,920.4,3649.82,3637.25
01:15,MCS 586,28-04-2025 14:29,88223.49,88950.86,1038.97,1071.78,46916.5,46984.58,28219.15,27838.37,9012.33,9063.86,686.1,686.94,3223.12,3223.81,411.7,480.79,5276.66,5305.52
01:16,MCS 587,28-04-2025 14:31,97012.67,98094.75,853.55,947.17,46014.17,46025.78,35008.44,34725.15,9140.58,9179.7,596.24,598.54,3140.4,3136.29,371.19,442.25,5634.86,5661.82
01:17,MCS 588,28-04-2025 14:33,85318.4,85932.42,1415.3,1457.29,38465.77,38429.99,28658.93,28206.8,7981,7988.07,449.09,451.43,3862.81,3864.73,335.84,406.06,4861.19,4882.31
01:18,MCS 589,28-04-2025 14:35,81035.09,81208.42,1203.03,1220.3,39519,39463.76,24066.03,23605.71,7512.56,7498.89,843.72,845.19,3797.61,3784.7,448.15,519.8,4527.14,4519.65
01:19,MCS 590,28-04-2025 14:37,61464.82,61407.75,2004.12,2006.87,25757.72,25712.52,18597.54,18183.26,4534.95,4493.39,517.81,519.68,4862.32,4821.24,364.56,409.24,2471.95,2464.23
01:20,MCS 591,28-04-2025 14:39,91831.19,92559.19,1323.73,1360.35,45914.43,45960.73,29045.84,28650.84,8795.29,8827.96,258.91,258.72,3542.89,3573.72,267.02,326.22,5151.3,5198.11
01:21,MCS 592,28-04-2025 14:41,63293.64,63224.04,2298.71,2297.98,30912.54,30841.09,17516.43,17127.2,5498.2,5463.3,210.95,212.05,4560.47,4530.06,489.59,528.68,3380.16,3368.35
01:22,MCS 593,28-04-2025 14:43,79945.3,80559.72,1385.85,1416.01,36747.59,36822.84,26705.66,26270.08,7104.1,7097.66,773.21,778.07,4454.22,4462.81,437.35,499.62,4204.33,4211.37
01:23,MCS 594,28-04-2025 14:45,72677.18,72672.35,1963.7,1972.8,29867.62,29831.94,20999.39,20541.16,6703.62,6672.8,214.25,213.72,4140.06,4125.34,472.45,534.73,4374.94,4358.01
S1:8,QC MES 5 ppm,28-04-2025 14:47,4.91,4.89,4.5,4.58,4.82,4.88,5.39,5.28,4.47,4.65,4.75,4.86,4.92,5,4.88,4.85,4.8,4.79
S1:9,SJS-Std,28-04-2025 14:49,79806.16,79103.18,19619.13,19313.98,37377.26,37274.48,24020.99,23534.54,15517.14,15413.77,575.5,576.33,13042.87,13137.43,640.43,790.24,3539.66,3525.99
01:24,MCS 595,28-04-2025 14:51,79496.36,79878.41,1724.6,1744.05,38766.66,38783.03,24089.26,23623.37,6888.34,6860.86,725.86,728.63,5438.51,5467.51,634.01,700.44,4131.41,4114.91
01:25,MCS 596,28-04-2025 14:53,67769.06,67872,2199.89,2229.31,28631.09,28684.22,23964.63,23543.2,5252.49,5216.47,264.72,265.24,5783.76,5756.73,548.97,572.14,3168.76,3157.42
01:26,MCS 597,28-04-2025 14:54,90740.85,91499.85,1652.14,1690.09,43823.05,43840.02,26365.11,25908.61,7415.49,7415.11,349.94,351.53,4270.42,4301.7,560.37,602,5057.03,5106.09
01:27,MCS 598,28-04-2025 14:56,89720.34,90269.19,1075.54,1097.16,47238.22,47243.54,25152.25,24646.4,9033.45,9043.78,529.7,532.92,3152.94,3130.74,467,520.24,5416.97,5426
01:28,MCS 599,28-04-2025 14:58,93254.89,94066.97,1229.48,1260.95,48026.22,48039.98,30215.64,29828.97,9370.07,9415.54,308.78,310.29,3075.46,3093.38,481.49,548.14,5711.31,5760.68
01:29,MCS 600,28-04-2025 15:00,83670.68,84502.43,2837.5,2907.63,41342.61,41379.35,31312.76,30968.89,10945.01,11159.77,401.35,403.8,6834.61,6803.99,391.64,451.26,4772.78,4764.12
01:30,MCS 601,28-04-2025 15:02,77211.78,77705.2,1319.36,1343.65,32250.5,32284.36,25874.99,25435.62,6212.25,6183.28,579.38,583.38,4225.06,4211.12,350.6,387.73,3880.97,3867.21
01:31,MCS 602,28-04-2025 15:04,94157.09,94997.42,1419.82,1465.59,44502.65,44527.99,29422.31,29005.32,8875.04,8892.03,309.85,311.74,4672.47,4666.2,525.72,563.52,5380.15,5410.01
01:32,MCS 603,28-04-2025 15:06,91506.68,92471.05,1658.72,1696.9,41223.18,41195.94,28142.6,27762.38,7926.49,7930.53,282.44,283.03,4564.47,4565.22,455.09,507.24,5184.51,5200.9
01:33,MCS 604,28-04-2025 15:08,72311.86,73101.27,3118.8,3174.38,35823.24,35778.01,28527.95,28144.52,8805.29,8834.45,499.53,503.56,8594.78,8589.77,641,724.66,4096.47,4081.99
S1:8,QC MES 5 ppm,28-04-2025 15:10,4.88,4.87,4.47,4.56,4.83,4.85,5.36,5.26,4.46,4.62,4.73,4.83,4.89,4.96,4.85,4.81,4.78,4.77
S1:9,SJS-Std,28-04-2025 15:12,79405.63,78700.07,19515.42,19218.9,37205.01,37150.53,23867.9,23402.67,15449.62,15346.72,575.3,575.24,13021.01,13028.64,665.78,724.95,3521.52,3510.67
01:34,MCS 605,28-04-2025 15:14,68372.04,68678.06,1628.2,1647.17,30686.81,30707.36,20490.59,20092.98,5136.89,5096.59,548.31,549.19,4639.49,4637.47,524.06,586.68,3110.89,3099.46
01:35,MCS 606,28-04-2025 15:16,72862.98,73453.73,1503.36,1527.95,32303.68,32302.06,23784.59,23377.21,6091.08,6061.64,316.24,318.06,4318.55,4268.09,369.04,414.72,3823.67,3809.86
01:36,MCS 607,28-04-2025 15:18,78245.07,78558.83,1709.01,1736.52,34158.68,34216.43,24645.79,24193.57,6691.34,6653.15,514.18,515.62,4684.66,4695.93,638.43,682.07,3860.63,3848.27
01:37,MCS 608,28-04-2025 15:20,78795.01,79002.18,1074.11,1090.76,39360.22,39506.51,24565.09,24085.65,8305.8,8297.38,431.24,432.59,3083.11,3055.22,359.06,400.92,4731.52,4744.76
01:38,MCS 609,28-04-2025 15:22,84477.38,85360.24,1217.57,1247.76,39732.25,39776.18,26516.7,26135.97,7211.65,7202.6,506.22,509.3,4094.34,4087.68,482.35,523.88,4389.24,4410.94
01:39,MCS 610,28-04-2025 15:24,75309.94,75558.11,1733.66,1751.43,31895.57,31967.89,24179.31,23727.03,6135.36,6091.36,652.45,655.54,4357.05,4344.73,531.09,571.84,3770.19,3756.4
01:40,MCS 611,28-04-2025 15:26,85941.48,86749.1,1059.25,1087.24,40870.68,40965.96,28613.02,28187.59,8024.35,8012.38,727.19,732.07,3549.33,3534.46,435.84,493.07,4963.04,4963.73
01:41,MCS 612,28-04-2025 15:28,85702.56,86616.26,1251.34,1280.56,40869.82,40882.47,27703.61,27233.75,7791.59,7775.88,326.62,328.82,3487.23,3484.31,373.64,437.64,5065.7,5061.13
01:42,MCS 613,28-04-2025 15:30,85528.15,85957.69,1150.1,1187.48,41691.76,41800.7,27678.05,27202.24,7803.33,7784.93,501.63,504.51,3242.03,3244.98,317.24,343.59,4894.26,4910.35
01:43,MCS 614,28-04-2025 15:32,79013.82,79756.78,1374.5,1399.83,41438.74,41533.62,24808.77,24406.55,6514.91,6490.99,714.26,718.37,4263.92,4266.98,433.63,474.81,4170.41,4193.19
S1:8,QC MES 5 ppm,28-04-2025 15:34,4.87,4.87,4.46,4.55,4.84,4.85,5.36,5.25,4.44,4.61,4.73,4.83,4.87,4.95,4.85,4.8,4.79,4.77
S1:9,SJS-Std,28-04-2025 15:36,79142.84,78463.26,19454.83,19178.7,37099.38,37048.53,23814.14,23331.2,15395.53,15273.14,573.21,572.46,12951.99,13070.88,667.63,784.22,3521.01,3506.5
01:44,MCS 615,28-04-2025 15:38,87205.8,88208.08,1155.05,1184.13,40864.22,40929.51,30566.04,30165.8,8156.82,8153.98,526.8,529.65,3883.92,3885.6,426.45,478.93,5196.46,5217.57
01:45,MCS 616,28-04-2025 15:40,74509.33,74964.15,1961.06,1981.88,29709.45,29838.76,22902.49,22463.97,5385.12,5340.7,196.23,196.11,5625.91,5610.06,452.58,511.29,3541.51,3526.27
01:46,MCS 617,28-04-2025 15:42,75656.16,76044.74,1515.3,1537.14,35997.38,35853.25,23976,23515.04,7037.68,7003.41,245.21,244.8,4268.18,4240.32,491.88,531.09,4388.21,4370.27
01:47,MCS 618,28-04-2025 15:44,96663.43,97695.28,1373.97,1406.43,48152.68,48265.59,27370.45,26947.67,8445.65,8434.04,355.91,359.17,3480.33,3470.69,472.78,523.71,5610.11,5620.13
01:48,MCS 619,28-04-2025 15:46,77323.33,78003.23,2970.96,3036.38,35157.71,35312.45,27321.97,26952.02,7848.16,7841.82,440.13,442.76,8710.02,8737.58,585.08,633.09,4099.25,4083.95
01:49,MCS 620,28-04-2025 15:48,93253.67,94316.85,1516.5,1558.38,45722.43,45777.63,30307.39,29894.04,8739.57,8740.35,600.02,604.17,4981.37,4967.65,533.48,578.9,5133.29,5147.28
01:50,MCS 621,28-04-2025 15:50,77326.06,77903.2,1526.86,1554.04,35314.47,35385.97,22886.17,22493.28,5927.66,5888.44,216.77,216.77,4830.22,4854.93,431.94,477.9,3855.66,3843.29
01:51,MCS 622,28-04-2025 15:52,84788.04,85902.29,1577.39,1274.88,42012.46,41166.62,19648.46,19881.54,8499.31,8432.1,251.43,253.05,4293.47,4140.68,610.37,667.74,5806.9,5777.44
01:52,MCS 623,28-04-2025 15:54,57054.12,56936.49,1211.86,1204.12,27310.88,27282.77,16950.02,16590.59,5027.03,4976.64,573.15,577.83,2953.22,2954.5,515.23,544.76,3227.26,3212.7
01:53,MCS 624,28-04-2025 15:56,72603.14,72895.89,2075.99,2087.42,32711.55,32970.41,19933.5,19502.69,5099.18,5046.67,188.15,187.73,5899.89,5879.98,525.66,568.69,3141.81,3130.13
S1:8,QC MES 5 ppm,28-04-2025 15:58,4.85,4.86,4.44,4.55,4.79,4.82,5.35,5.24,4.43,4.58,4.71,4.81,4.86,4.96,4.83,4.78,4.77,4.76
S1:9,SJS-Std,28-04-2025 16:00,79350.06,78782.21,19456.2,19278.39,37056.45,37039.05,23927.63,23435.5,15385.1,15257.18,572.96,572.91,13034.21,12975.73,661.67,728.93,3524.73,3510.64
01:54,MCS 625,28-04-2025 16:02,70159.94,70468.67,1958.33,1988.42,31857.22,32056.98,23300.83,22836.41,5596.74,5546.33,219.79,220,6132.46,6089.52,391.3,433.49,3420.48,3406.69
01:55,MCS 626,28-04-2025 16:04,81769.57,82425.34,1225.94,1260.99,39186.2,39332.37,27306.81,26833.42,7699.58,7676.96,911.94,917.08,3338.75,3327.03,444.72,495.91,4856.89,4862.1
01:56,MCS 627,28-04-2025 16:06,65699.32,65682.1,2118.33,2143.99,23144.68,23273.13,19609.36,19157.54,4107.38,4084.94,203.98,203.23,5978.78,5931.89,356.71,405.09,2460.07,2450.82
01:57,MCS 628,28-04-2025 16:07,85772.58,86475.16,1869.46,1918.5,39293.82,39555.73,27748.15,27255.85,9496.17,9520.02,399.9,401.77,4700.39,4709.14,643.48,710.59,4297.67,4280.87
01:58,MCS 629,28-04-2025 16:09,73204.81,73652.71,1788.67,1828.33,33085.29,33124.81,25030.97,24543.67,6848.53,6811.96,663.7,668.35,4454.41,4471.46,332.44,401.03,3722.86,3709.49
01:59,MCS 630,28-04-2025 16:11,77904.76,78491.56,1149.36,1188.61,38850,39021.01,23360.88,22896.54,6789.93,6755.98,352.45,355.05,3623.72,3642.82,433.42,487.94,4244.64,4253.86
0.083333333,MCS 631,28-04-2025 16:13,74007.97,74364.97,2812.72,2867.15,33127.72,33232.79,20531.36,20083.11,5281.77,5233.09,1018.06,1024.06,6988.54,6974.12,483.59,513.31,3059.83,3048.54
02:01,MCS 632,28-04-2025 16:15,54464.69,54405.08,803.65,885.28,26385.99,26446.73,16700.46,16277.42,4713.42,4663.35,428.01,430.03,2666.25,2654.9,372.67,441.04,2835.33,2822.45
02:02,MCS 633,28-04-2025 16:17,73591.81,74155.37,2430.55,2488.08,35841.3,35882.05,26253.94,25826.76,9040.42,9067.88,409.28,411.51,5786.16,5752.04,678.69,719.94,3958.92,3943.36
02:03,MCS 634,28-04-2025 16:19,66442.79,66561.43,1779.25,1804.7,31138.35,31290.26,17839.48,17427.37,5127.03,5078.82,438.74,439.31,5003.43,5053.98,478.66,517.44,3327.9,3315.91
S1:8,QC MES 5 ppm,28-04-2025 16:21,4.84,4.86,4.44,4.56,4.78,4.82,5.36,5.25,4.43,4.58,4.71,4.81,4.86,4.96,4.83,4.78,4.77,4.76
S1:9,SJS-Std,28-04-2025 16:23,79497.58,78781.59,19443.78,19331.59,37021.9,36887.73,23899.23,23406.92,15384.89,15261.68,573.74,572.14,12976.02,12979.45,636.87,777.48,3522.8,3509.07
02:04,MCS 635,28-04-2025 16:25,57931.39,58058.43,1974,1998.82,21203.93,21432.39,18605.75,18194.14,3897.61,3873.78,177.7,176.8,5870.75,5841.4,524.13,574.71,2330.37,2321.71
02:05,MCS 636,28-04-2025 16:27,64504.05,64777.99,2065.04,2095.54,28755.08,28831.93,19623.45,19184.84,5599.64,5545.94,1084.91,1093.08,5370.13,5391.57,778.99,826.04,2981.65,2970.92
02:06,MCS 637,28-04-2025 16:29,73837.11,74082.85,2610.49,2650.88,33111.39,33224.31,20323.7,19879.17,5467.37,5411.3,421.23,424.04,7229.43,7207.64,1053.91,1093.14,3374.72,3359.88
02:07,MCS 638,28-04-2025 16:31,139382.77,141850.96,674.77,772.69,45778.52,46040.8,28024.54,27666.74,8581.09,8587.84,575.2,580.44,2825.36,2821.97,367.09,399.43,5108.08,5129.48
02:08,MCS 639,28-04-2025 16:33,75493.8,75774.68,3306.9,3351.29,32932.26,33004.22,17831.95,17464.25,5754.79,5707.84,374.32,377.09,7211.97,7186.11,1029.8,1102.36,3344.99,3331.54
02:09,MCS 640,28-04-2025 16:35,74750.5,75480.25,3934.57,4043.14,40982.77,41104.64,30998.53,30564.89,10830.15,10940.83,527.23,530.64,8548.23,8567.11,630.32,677.77,4568.88,4562.17
02:10,MCS 641,28-04-2025 16:37,60374.45,60389.83,2176.39,2196.42,26189.84,26226.64,18979.26,18489.32,5016.28,4963.51,552.65,554.62,5027.27,5046.61,479.63,560.34,2827.93,2817.65
02:11,MCS 642,28-04-2025 16:39,87395.59,88068.96,1616.12,1657.32,45844.35,45955.66,25197.65,24735.86,6574.36,6533.34,714.54,720.86,5174.46,5186.65,537.45,576.65,4301.56,4286.22
02:12,MCS 643,28-04-2025 16:41,107093.12,109312.36,5035.12,5275.66,58390.67,58309.01,46415.2,46531.12,15597.93,16045.09,837.18,844.02,12192.79,12235.49,767.37,806.02,6676.55,6659.14
02:13,MCS 644,28-04-2025 16:43,68420.75,68723.79,1288.32,1312.79,32956.81,33115.73,21848.16,21416.88,6036.31,5992.2,326.97,328.88,3910.28,3899.55,495.82,550.95,3713.07,3697.56
S1:8,QC MES 5 ppm,28-04-2025 16:45,4.84,4.84,4.42,4.54,4.75,4.81,5.33,5.21,4.41,4.57,4.69,4.8,4.82,4.93,4.79,4.75,4.75,4.74
S1:9,SJS-Std,28-04-2025 16:47,79132.84,78564.06,19379.42,19245.35,36902.71,37058.81,23824.36,23336.92,15326.66,15187.02,571.28,569.8,12952.68,12927.6,655.81,742.93,3515.07,3499.61
02:14,MCS 645,28-04-2025 16:49,107317.61,108731.4,1646.62,1703.24,48974.96,48962.98,32943.11,32569.3,9296.5,9301.81,360.8,362.51,5442.39,5457.87,575.3,607.99,5831.71,5839.37
02:15,MCS 646,28-04-2025 16:51,88544.46,89735.25,3484.92,3627.55,45064.94,45229.41,37579.14,37546.43,11589.84,11799.19,573.7,577.94,8895.54,8920.23,721.98,790,5167.19,5188.67
02:16,MCS 647,28-04-2025 16:53,130489.18,132985.44,1459.22,1533.09,60598.44,60659.67,43802.81,43691.41,11863.92,12050.43,594.89,598.61,5350.88,5415.01,784.79,831.68,7457.25,7442.49
02:17,MCS 648,28-04-2025 16:55,89868.63,90988.93,1689.68,1747.11,35513.52,35710.31,28817.77,28452.81,7283.64,7266.21,240.01,239.7,5569.25,5540.74,481.94,513.94,5069.9,5071.72
02:18,MCS 649,28-04-2025 16:57,122694.52,124602.59,2231.83,2324.66,50901.57,51091.67,35023.45,34858.29,9993.2,10057.43,318.9,321.45,6668.83,6649.43,902.34,957.64,6954.32,6945.92
02:19,MCS 650,28-04-2025 16:59,87365.81,88603.82,2971.34,3074.08,41017.3,41192.19,32209.32,31838.55,10778.16,10955.43,407.24,409.96,7378.34,7367.52,365.76,434.09,5029.02,5049.38
02:20,MCS 651,28-04-2025 17:01,101639.13,103045.77,1585.1,1644.75,44746.27,45166,32842.38,32428.63,8929.55,8929.02,249.43,249.21,4696.43,4686.47,474.5,503.97,5876.05,5869.83
02:21,MCS 652,28-04-2025 17:03,99394.99,100856.98,2344.59,2443.6,49313.93,49442.79,32700.4,32393.58,11402.39,11615.86,474.54,477.8,6109.06,6034.36,772.37,810.52,5063.14,5088.68
02:22,MCS 653,28-04-2025 17:05,81153.77,81865.81,1234.82,1272.38,39011.98,39148.79,22062.79,21623.33,6973.67,6944.06,602.57,607.72,3727.22,3753.49,450.78,507.59,3736.97,3724.69
02:23,MCS 654,28-04-2025 17:07,112327.55,114210.59,1367.47,1431.27,55939.08,56030.97,38717.48,38540.5,11355.62,11552.12,532.92,535.59,4463.12,4488.32,678.51,738.92,6476.88,6458.42
S1:8,QC MES 5 ppm,28-04-2025 17:09,4.86,4.86,4.43,4.56,4.76,4.8,5.34,5.23,4.42,4.56,4.69,4.79,4.86,4.94,4.81,4.76,4.76,4.75
S1:9,SJS-Std,28-04-2025 17:11,79060.77,78471.58,19308.52,19208.93,36774.26,37002.01,23798.44,23285.93,15284.37,15147.05,567.79,568.88,12873.4,12928.46,663.55,813.93,3506.84,3494.08
02:24,MCS 655,28-04-2025 17:13,114428.14,116303.95,2046.2,2132.39,58338.65,58543.72,33102.52,32760.86,9003.14,9015.86,825.05,828.77,5719.37,5689,738.91,759.11,5871.91,5893.23
02:25,MCS 656,28-04-2025 17:15,66904.36,67291.81,2950.05,3035.1,30888.98,31032.84,23612.7,23184.47,7366.15,7356.49,491.07,494.9,7840.98,7838.25,781.77,820.62,3409.87,3396.9
02:26,MCS 657,28-04-2025 17:17,99311.55,100997.16,1672.49,1739.9,48135.51,48239.8,33165.87,32969.86,9220.33,9257.34,348.26,350.16,5738.94,5716.21,402.56,454.18,6488.69,6477.39
02:27,MCS 658,28-04-2025 17:19,121525.39,124171.89,3361.01,3542.07,57294.7,57506.63,44699.12,44872.46,14069.68,14413.66,564.83,567.47,9701.28,9789.24,624.77,699.49,6934.37,6919.24
02:28,MCS 659,28-04-2025 17:21,78926.24,79659.52,2871.94,2948.42,37427.5,37528.01,26043.24,25614.49,7987.75,7972.81,409.42,412.12,7937.52,7951.73,553.63,606.87,4205.56,4191.12
02:29,MCS 660,28-04-2025 17:23,99236.45,101037.69,3885.82,4047.36,48931.54,49108.11,34080.47,33779.07,11755.51,11991.35,971.68,979.73,8146.75,8174.23,1086.19,1125.72,5424.79,5437.07
02:30,MCS 661,28-04-2025 17:25,57931.16,57977.9,2425.82,2472.11,28537.72,28674.84,19764.86,19316.63,6908.5,6870.06,613.69,617.48,5084.45,5079.55,750.19,808.83,2951.6,2941.71
02:31,MCS 662,28-04-2025 17:26,62519.84,62740.78,2116.78,2146.15,30189.34,30228.53,16826.8,16441.64,4809.43,4759.55,823.17,830.36,5422.55,5473.54,611.61,646.97,2769.37,2759.24
02:32,MCS 663,28-04-2025 17:28,92425.72,93742.21,2845.95,2957.51,46587.31,46776.5,32556.41,32219.23,11302.8,11467.89,491.58,493.9,7851.64,7867.14,455.88,525.38,5355.34,5375.05
02:33,MCS 664,28-04-2025 17:30,78776.24,79433.69,2166.6,2225,37254.78,37427.63,27729.96,27259.14,9227.35,9232,377.18,379.77,5473.28,5498.23,601.52,618.68,3836.7,3824.39
S1:8,QC MES 5 ppm,28-04-2025 17:32,4.85,4.85,4.42,4.57,4.77,4.8,5.35,5.23,4.41,4.56,4.7,4.79,4.85,4.92,4.8,4.76,4.76,4.75
S1:9,SJS-Std,28-04-2025 17:34,79533.79,78768.07,19367.5,19290.92,36853.63,37088.55,23866.63,23361.24,15330.25,15198.34,569.62,572.1,12968.32,12960.28,676,785.74,3515.79,3504.27
02:34,MCS 665,28-04-2025 17:36,83373.65,84221.28,1943.11,1997.61,33285.6,33482.82,25311.98,24856.14,6902.53,6872.35,316.01,316.7,5680.5,5654.64,587.58,667.43,4156.63,4159.95
02:35,MCS 666,28-04-2025 17:38,141380.79,145304.42,5124.74,5498.16,72879.78,73249.92,57845.26,58827.72,18239.39,19059.59,834.02,841.71,13234.92,13547.01,787.34,833.34,8642.5,8630.52
02:36,MCS 667,28-04-2025 17:40,100744.32,102185.84,1553.87,1608.55,51977.09,52146.85,28639.71,28199.69,7884.53,7874.12,559.9,563.29,4754.27,4751.91,631.32,708.29,5222.73,5237.14
02:37,MCS 668,28-04-2025 17:42,105182.35,106831.36,1229.68,1303.06,41225.55,41299.24,35297.35,35256.62,8681.16,8707.4,340.46,342.02,4636.37,4651.21,739.11,797.91,5684.68,5697.53
